date,Rule,Ridge,RandomForest,LightGBM,Transformer,evidence_persistence,evidence_correction,evidence_volatility_support,evidence_flow,evidence_relative_strength,evidence_intermarket,evidence_macro_market
2024-01-31,0.4895104895104895,0.07692307692307694,0.23776223776223782,-0.0069930069930069765,0.020979020979020935,0.20279720279720284,-0.2867132867132867,-0.26573426573426573,0.5664335664335665,0.5594405594405595,-9.648373092180158e-17,0.22656606181076278
2024-02-29,0.2867132867132867,0.2797202797202796,0.1678321678321679,0.06293706293706292,0.5104895104895105,0.4545454545454546,-0.19580419580419584,-0.0419580419580419,0.16083916083916078,0.39860139860139865,-1.1256435274210183e-16,-0.19470520936862443
2024-03-29,0.18181818181818177,-0.46153846153846145,-0.2587412587412587,0.1608391608391608,0.04895104895104892,0.3076923076923076,-0.04195804195804196,0.02797202797202796,-0.06993006993006995,0.08391608391608385,-9.648373092180157e-17,0.2124056829475901
2024-04-30,0.055944055944055986,-0.05594405594405594,-0.14685314685314677,0.12587412587412583,-0.5454545454545454,0.06993006993006994,-0.11888111888111888,-0.4265734265734265,0.12587412587412583,0.08391608391608392,-1.125643527421018e-16,0.21948587237917658
2024-05-31,-0.130066495428618,0.7552447552447552,0.1748251748251748,0.3286713286713286,-0.00699300699300701,-0.3496503496503497,0.5289370814097132,-0.27972027972027974,-0.2447552447552447,-0.13986013986013993,-9.648373092180158e-17,-0.14160378863172685
2024-06-28,0.08391608391608393,0.05594405594405597,0.2377622377622377,0.2517482517482517,-0.27272727272727265,4.658278425000656e-17,0.13286713286713286,0.013986013986014003,0.20279720279720276,-0.06993006993006992,-1.2864497456240211e-16,-0.024780663010552182
2024-07-31,0.07692307692307689,0.23776223776223782,0.5244755244755244,-0.25874125874125875,0.006993006993006959,-0.034965034965035016,-0.0979020979020979,-0.3216783216783218,0.46153846153846156,0.20979020979020976,2.5728994912480423e-16,-0.14514388334751996
2024-08-30,-0.21678321678321677,0.15384615384615385,0.13986013986013987,0.2447552447552447,-0.2517482517482517,-0.27972027972027974,0.20979020979020976,0.1958041958041958,-0.43356643356643354,-0.16083916083916078,-1.1256435274210183e-16,0.14948985918580535
2024-09-30,0.26573426573426573,0.23776223776223782,0.04895104895104894,-0.041958041958042,-0.06993006993006988,0.09790209790209796,0.5104895104895103,0.21678321678321677,-0.1468531468531468,0.26573426573426573,-1.2864497456240211e-16,0.06372170488427703
2024-10-31,-0.027972027972027927,-0.6153846153846154,-0.46153846153846134,-0.41958041958041953,-0.3286713286713286,-0.09090909090909088,-0.18881118881118883,0.23076923076923078,0.2307692307692308,-0.2167832167832168,-9.648373092180158e-17,0.3256887138529717
2024-11-29,-0.22377622377622375,0.2517482517482519,-0.13986013986013987,-0.41958041958041953,0.13286713286713284,-0.08756580854229326,0.26573426573426573,-6.987417637500984e-17,0.28671328671328683,-0.25174825174825166,-1.1256435274210183e-16,-0.665537806569116
2024-12-31,-0.06293706293706292,0.3496503496503497,0.3776223776223777,-0.4545454545454546,-0.18181818181818177,-0.20279720279720279,0.4055944055944055,0.3496503496503497,-0.46153846153846156,-0.06993006993006992,-1.1256435274210183e-16,-0.4531321236215258
2025-01-31,-0.10489510489510491,0.09090909090909097,-0.0349650349650349,0.5244755244755246,-0.13286713286713284,0.06293706293706297,-0.1328671328671328,-0.30069930069930073,-0.020979020979021042,0.027972027972027986,-1.1256435274210183e-16,-0.2371863459581424
2025-02-28,0.12587412587412578,-0.12587412587412591,-0.1748251748251748,-0.4895104895104893,-0.19580419580419575,0.08391608391608395,0.14685314685314693,-0.11908949961751893,-0.34265734265734266,0.013986013986013995,-9.648373092180158e-17,0.8850236789482925
2025-03-31,-0.8461538461538463,0.4895104895104896,-0.5454545454545454,-0.13286713286713286,0.21678321678321677,-0.8461538461538463,0.5734265734265734,-0.13286713286713292,-0.8741258741258742,-0.6993006993006994,2.5728994912480423e-16,0.3186085244213854
2025-04-30,0.5874125874125874,-0.6433566433566433,-0.1328671328671328,0.2797202797202798,-0.3776223776223776,0.41258741258741255,0.02097902097902098,0.5804195804195804,0.08391608391608393,0.4895104895104894,-1.2864497456240211e-16,-0.028320757726345354
2025-05-30,-0.07692307692307684,-0.5524475524475525,-0.37062937062937057,-0.3076923076923077,-0.39860139860139865,-0.06993006993006974,-0.2727272727272728,-0.19580419580419575,0.08391608391608392,0.07692307692307705,-1.125643527421018e-16,-0.2902877666950399
2025-06-30,0.09790209790209792,0.3916083916083916,0.5314685314685316,0.4265734265734265,-0.006993006993006938,0.09790209790209785,0.027972027972027927,-0.23776223776223776,0.2377622377622377,0.06993006993006994,-1.1256435274210183e-16,-0.08142217846324293
2025-07-31,-0.3496503496503496,-0.48251748251748255,-0.20279720279720279,0.27272727272727265,0.24475524475524485,-0.15384615384615385,-0.11888111888111892,-0.14685314685314688,-0.07692307692307691,-0.38461538461538464,-1.1256435274210183e-16,-0.4354316500425599
2025-08-29,7.957892309376122e-18,-0.5174825174825174,-0.16783216783216776,0.020979020979020976,-0.05594405594405588,-0.09790209790209788,0.3006993006993006,-0.02797202797202801,-0.44055944055944046,-0.09090909090909086,-1.125643527421018e-16,0.08496227317903604
2025-09-30,-0.25174825174825166,0.6713286713286712,-0.006993006993007051,0.09790209790209789,0.3776223776223775,-0.034965034965034836,-0.0769230769230769,0.22377622377622375,-0.2657342657342658,-0.3006993006993006,-1.125643527421018e-16,-0.3646297557266963
2025-10-31,-0.1468531468531468,-0.2797202797202798,0.3076923076923077,0.4545454545454544,-0.034965034965034975,-0.08391608391608392,0.1608391608391609,-0.3146853146853148,0.0909090909090909,-0.02797202797202798,-9.648373092180158e-17,-0.4920731654952506
2025-11-28,-0.3286713286713287,-0.23776223776223782,0.4965034965034965,-0.09090909090909095,-0.6713286713286714,-0.5034965034965034,0.22377622377622375,0.020979020979020966,-0.01398601398601405,-0.06993006993006994,-1.1256435274210183e-16,0.1699245463580721
2025-12-31,0.01398601398601401,-0.2517482517482517,-0.104895104895105,0.08391608391608392,-0.06993006993006981,0.04895104895104898,0.041958041958041974,-0.22377622377622375,-0.27272727272727276,0.08391608391608386,-1.2864497456240211e-16,0.19325441292891318
2026-01-30,0.33566433566433573,0.44055944055944046,0.31468531468531463,0.47552447552447563,-0.006993006993007031,0.34265734265734277,-0.11888111888111891,-0.11888111888111885,0.37762237762237766,0.3076923076923077,2.8945119276540474e-16,-0.1770047357896586
2026-02-27,0.2727272727272727,0.04195804195804197,0.07692307692307693,0.1748251748251748,-0.3496503496503496,0.29370629370629364,-0.07692307692307691,0.15384615384615388,0.20979020979020976,0.16783216783216787,2.733705709451045e-16,-0.1840849252212448
2026-03-31,0.07692307692307687,0.041958041958041946,0.04195804195804196,0.1748251748251748,0.1328671328671329,0.1748251748251748,-0.21678321678321677,-0.09090909090909091,0.01398601398601401,0.15384615384615383,2.733705709451045e-16,0.03894104187372481
2026-04-30,-0.0559440559440559,-0.16783216783216778,0.3636363636363636,0.17482517482517476,0.21678321678321671,-0.02797202797202796,0.2797202797202797,-0.09790209790209782,0.027972027972028014,-0.23776223776223762,2.572899491248042e-16,-0.10266274675800191
2026-05-29,0.18881118881118886,-0.12587412587412586,0.11188811188811185,0.14685314685314682,-0.13986013986013976,0.3076923076923077,-0.16783216783216787,-0.1958041958041958,0.4335664335664336,0.2517482517482518,-1.1256435274210183e-16,-0.1982453040844175
